Gene,highly_variable
KCNA3,False
LRIF1,True
DRAM2,False
RP5-1180E21.5,True
OVGP1,False
WDR77,False
ADORA3,True
KCND3,False
RP4-671G15.2,True
ST7L,False
RHOC,True
SLC16A1,False
RP11-31F15.2,False
PHTF1,False
RSBN1,False
AP4B1,False
SYT6,True
TRIM33,False
BCAS2,False
DENND2C,False
NRAS,False
CSDE1,False
SIKE1,False
TSPAN2,False
NHLH2,True
CD58,False
IGSF3,True
RP4-753F5.1,False
TRIM45,False
GDAP2,False
WARS2,False
ZNF697,True
NOTCH2,True
RP11-344P13.6,False
RP11-417J8.6,False
RP11-423O2.5,False
RP11-782C8.5,False
FAM72D,False
RP4-791M13.3,False
PDE4DIP,False
RP11-458D21.6,False
RP11-458D21.1,False
POLR3GL,False
NUDT17,False
POLR3C,True
GPR89A,False
PRKAB2,False
ACP6,True
NBPF20,False
HIST2H2BE,True
SV2A,False
SF3B4,False
MTMR11,False
OTUD7B,True
ANP32E,True
APH1A,False
MCL1,False
ENSA,True
GOLPH3L,False
CTSK,False
ARNT,False
FAM63A,False
CDC42SE1,False
SEMA6C,False
LYSMD1,True
VPS72,False
RP11-126K1.2,True
PI4KB,True
RFX5,False
SELENBP1,True
POGZ,False
RP11-404E16.1,False
CELF3,False
MRPL9,False
TDRKH,False
C2CD4D,False
THEM4,False
S100A10,True
S100A11,True
TCHH,True
S100A6,True
S100A4,False
S100A16,True
S100A13,False
RP1-178F15.4,False
ILF2,False
GATAD2B,False
DENND4B,False
CRTC2,False
SLC39A1,False
JTB,False
RAB13,True
TPM3,False
C1orf189,False
C1orf43,False
UBE2Q1,False
ADAR,False
KCNN3,False
PMVK,False
PBXIP1,False
PYGO2,False
DCST2,False
RP11-307C12.11,True
DPM3,False
KRTCAP2,False
THBS3,False
GBA,False
FAM189B,False
SCAMP3,False
CLK2,False
ASH1L,False
YY1AP1,False
GON4L,False
RIT1,True
KIAA0907,False
ARHGEF2,False
SSR2,False
UBQLN4,False
MEX3A,False
PAQR6,True
SMG5,False
C1orf85,False
CCT3,False
C1orf61,True
RP11-98G7.1,False
MEF2D,False
IQGAP3,False
GPATCH4,True
RP11-284F21.9,False
NES,True
CRABP2,True
ISG20L2,False
MRPL24,False
HDGF,False
SH2D2A,False
ARHGEF11,False
ETV3,False
AIM2,False
C1orf204,False
CCDC19,False
TAGLN2,True
IGSF9,False
PIGM,False
KCNJ10,False
IGSF8,False
RP11-536C5.7,False
DCAF8,False
PEX19,False
COPA,False
F11R,False
TSTD1,False
USF1,False
PFDN2,False
DEDD,False
B4GALT3,False
ADAMTS4,False
MPZ,True
C1orf192,False
FCGR3A,False
RP11-506O24.1,False
RXRG,False
ALDH9A1,False
TMCO1,False
FAM78B,False
TADA1,False
ILDR2,False
CD247,False
CREG1,False
MPC2,False
GPR161,False
NME7,False
CCDC181,True
SLC19A2,False
METTL18,False
SCYL3,False
KIFAP3,True
VAMP4,False
PIGC,False
TNFSF4,False
RP11-296O14.3,False
SLC9C2,True
ANKRD45,False
CENPL,False
RC3H1,False
MRPS14,False
KIAA0040,False
TNR,False
RP11-318C24.2,False
RFWD2,False
ASTN1,False
RASAL2-AS1,False
ANGPTL1,True
ABL2,False
TOR1AIP2,False
RP11-533E19.7,False
RP11-533E19.5,False
RP5-1180C10.2,False
ACBD6,False
STX6,True
GLUL,True
RNASEL,False
RGS16,True
RP11-317P15.5,True
NMNAT2,False
ARPC5,False
COLGALT2,False
RP11-382D12.2,False
EDEM3,True
TRMT1L,False
IVNS1ABP,True
TPR,False
BRINP3,True
UCHL5,False
RP11-101E13.5,False
GLRX2,False
B3GALT2,True
KCNT2,True
ASPM,True
ZBTB41,False
DENND1B,False
ATP6V1G3,False
MIR181A1HG,False
ZNF281,False
KIF14,True
DDX59,False
KIF21B,False
ASCL5,False
TMEM9,False
RP11-134G8.8,False
PHLDA3,True
CSRP1,False
IPO9-AS1,False
ARL8A,False
UBE2T,False
SYT2,True
KDM5B,False
RABIF,False
KLHL12,False
ADIPOR1,False
CYB5R1,True
ETNK2,False
PLEKHA6,False
PPP1R15B,False
PIK3C2B,True
LRRN2,False
TMEM81,False
RBBP5,False
DSTYK,False
NUAK2,True
KLHDC8A,True
LEMD1,True
ELK4,False
SLC45A3,False
NUCKS1,False
RAB7L1,False
SLC41A1,False
RP11-312O7.2,True
EIF2D,False
RP11-343H5.6,True
YOD1,False
PLXNA2,True
RP11-385M4.1,True
LAMB3,False
C1orf74,False
SERTAD4-AS1,True
SLC30A1,True
NEK2,False
LPGAT1,False
INTS7,False
TMEM206,False
BATF3,False
NSL1,False
FLVCR1-AS1,True
ANGEL2,False
PTPN14,False
ESRRG,False
GPATCH2,False
EPRS,False
BPNT1,False
RAB3GAP2,False
DUSP10,True
TAF1A,False
RP11-378J18.8,False
AIDA,True
SUSD4,True
TP53BP2,False
RP11-504P24.8,False
NVL,False
WDR26,False
RP11-100E13.1,False
LBR,False
ENAH,False
LEFTY1,False
LEFTY2,False
SDE2,True
RP11-396C23.4,False
ACBD3,False
LIN9,False
PARP1,False
ITPKB,False
CDC42BPA,False
JMJD4,False
C1orf35,False
MRPL55,False
TRIM11,False
HIST3H2A,True
CCSAP,True
ACTA1,True
RP5-1068B5.3,False
NUP133,False
ABCB10,False
TAF5L,False
PGBD5,False
C1orf198,False
TTC13,False
FAM89A,True
C1orf131,False
EXOC8,False
EGLN1,False
RP11-295G20.2,False
SIPA1L2,True
PCNXL2,False
RP5-827C21.4,True
TARBP1,False
IRF2BP2,False
RP4-597N16.4,True
TOMM20,False
RBM34,False
ARID4B,False
B3GALNT2,False
GNG4,False
LYST,False
NID1,False
ERO1LB,False
RP11-385F5.5,True
RP11-385F5.4,False
HEATR1,False
GREM2,False
RGS7,False
FH,False
OPN3,False
PLD5,True
CEP170,True
AKT3,True
ADSS,False
HNRNPU-AS1,False
HNRNPU,False
RP11-156E8.1,True
SMYD3,False
TFB2M,False
AHCTF1,False
ZNF669,False
C1orf229,False
ZNF124,True
RP11-488L18.10,False
ZNF496,False
GCSAML-AS1,True
SH3BP5L,False
ZNF692,False
SAMD11,True
KLHL17,False
ISG15,True
AGRN,False
B3GALT6,False
SCNN1D,False
PUSL1,False
GLTPD1,False
TAS1R3,False
RP4-758J18.2,False
VWA1,True
ATAD3B,False
ATAD3A,False
AL645728.1,False
MIB2,False
MMP23B,False
RP11-345P4.10,False
RP1-140A9.1,False
GABRD,False
PRKCZ,False
AL590822.2,False
SKI,False
RER1,False
PLCH2,False
RP3-395M20.12,True
FAM213B,False
PRDM16,False
TPRG1L,False
SMIM1,False
DFFB,False
AJAP1,False
KCNAB2,False
RP1-202O8.3,False
ZBTB48,False
PHF13,False
THAP3,False
CAMTA1,False
VAMP3,False
PER3,False
PARK7,False
SLC45A1,False
ENO1-AS1,True
H6PD,True
SPSB1,True
SLC25A33,False
TMEM201,False
PIK3CD,False
NMNAT1,False
UBE4B,False
KIF1B,False
PGD,False
APITD1,False
APITD1-CORT,False
PEX14,False
TARDBP,True
RP4-635E18.8,True
RP4-635E18.7,False
PTCHD2,True
FBXO44,False
FBXO6,False
DRAXIN,True
AGTRAP,False
