Gene,highly_variable
ARGLU1,False
FAM155A,True
LIG4,False
IRS2,False
COL4A1,False
RAB20,False
CARS2,False
ANKRD10,False
ARHGEF7-AS2,False
TUBGCP3,False
RP11-120K24.3,False
MCF2L-AS1,False
PCID2,False
GRTP1,False
ADPRHL1,False
DCUN1D2,True
GAS6,False
RASA3,False
MPHOSPH8,False
RP11-61K9.2,False
ZMYM2,False
IFT88,False
IL17D,False
LATS2-AS1,True
SAP18,False
MRP63,False
FGF9,True
SGCG,True
LINC00327,False
TNFRSF19,True
SPATA13,False
NUPL1,False
ATP8A2,False
CDK8,False
WASF3,False
RPL21,False
RASL11A,True
GTF3A,False
POLR1D,False
GSX1,True
ATP5EP2,False
PAN3,True
POMP,False
MTUS2,False
USPL1,False
TEX26,True
B3GALTL,False
FRY,False
BRCA2,True
PDS5B,False
KL,False
RFC3,False
NBEA,False
CCNA1,True
RFXAP,False
EXOSC8,False
UFM1,False
NHLRC3,False
COG6,False
SLC25A15,True
WBP4,False
NAA16,False
RGCC,True
DGKH,False
AKAP11,False
DNAJC15,False
ENOX1-AS1,False
RP11-168P13.1,False
LACC1,True
SERP2,False
GPALPP1,True
GTF2F2,False
RP11-290D2.6,False
TPT1-AS1,False
COG3,False
CPB2-AS1,False
LRCH1,False
SUCLA2-AS1,False
NUDT15,False
ITM2B,False
RB1,False
FNDC3A,False
CDADC1,False
SETDB2,False
PHF11,False
KCNRG,False
DLEU1,True
RNASEH2B,True
FAM124A,False
WDFY2,False
RP11-327P2.5,False
UTP14C,False
CKAP2,True
HNRNPA1L2,False
SUGT1,False
PCDH17,True
TDRD3,False
PCDH9-AS1,False
BORA,False
PIBF1,False
KLF5,True
UCHL3,False
LMO7,True
CLN5,False
SLAIN1,False
RBM26-AS1,False
NDFIP2,False
SLITRK5,True
GPC6,True
GPR180,False
SOX21-AS1,True
CLDN10,False
DNAJC3,True
MBNL2,True
RAP2A,False
IPO5,False
FARP1,False
UBAC2,False
TM9SF2,False
CLYBL,False
ZIC2,True
PCCA,False
FGF14-AS2,False
TPP2,False
RP11-29B2.5,False
ERCC5,False
ABHD13,False
MYO16,False
COL4A2,False
CARKD,False
ING1,False
ARHGEF7,False
LINC00354,False
SOX1,True
RP11-450H6.3,False
LINC00403,True
ATP11A,False
MCF2L,False
CUL4A,False
LAMP1,False
DCUN1D2-AS,False
TMCO3,False
TFDP1,False
GAS6-AS2,False
CDC16,False
UPF3A,False
CHAMP1,False
TTC5,False
CCNB1IP1,False
RPPH1,True
RP11-203M5.2,False
TEP1,False
OSGEP,False
TMEM55B,False
NDRG2,False
ZNF219,True
HNRNPC,False
SUPT16H,False
CHD8,False
RAB2B,False
METTL3,False
SALL2,False
DAD1,False
SLC7A7,False
RBM23,False
PRMT5,False
HAUS4,False
AJUBA,True
C14orf93,False
PSMB5,False
CDH24,False
ACIN1,False
SLC7A8,False
HOMEZ,False
PPP1R3E,True
SLC22A17,False
EFS,True
ZFHX2,True
AP1G2,False
JPH4,True
NRL,False
EMC9,False
PSME2,False
IPO4,True
CHMP4A,False
MDP1,False
NEDD8,False
TINF2,False
RABGGTA,False
DHRS1,False
CIDEB,False
CBLN3,False
SDR39U1,False
STXBP6,True
NOVA1,True
RP11-966I7.1,True
RP11-966I7.2,True
PRKD1,False
STRN3,False
HECTD1,False
HEATR5A,True
RP11-176H8.1,False
DTD2,True
ARHGAP5-AS1,False
EGLN3,False
EAPP,False
SNX6,False
CFL2,False
BAZ1A,True
PPP2R3C,False
NFKBIA,True
RALGAPA1,False
MBIP,False
SFTA3,False
NKX2-1,True
SEC23A,False
TRAPPC6B,False
RP11-407N17.5,False
FBXO33,False
CTD-2298J14.2,True
KLHL28,False
FKBP3,False
MIS18BP1,True
MDGA2,False
LINC00648,False
RPS29,False
RPL36AL,False
RP11-649E7.5,False
DNAAF2,False
POLE2,False
NEMF,False
VCPKMT,False
SOS2,True
L2HGDH,False
RP11-247L20.4,False
CDKL1,False
MAP4K5,True
SAV1,False
NIN,True
PYGL,True
TRIM9,False
TXNDC16,False
ERO1L,False
GNPNAT1,False
FERMT2,False
DDHD1,False
BMP4,False
CNIH1,False
GMFB,False
GCH1,False
WDHD1,False
DLGAP5,False
ATG14,False
RP11-1085N6.6,False
OTX2,True
EXOC5,False
C14orf37,False
RP11-349A22.5,False
TIMM9,False
L3HYPDH,False
CCDC175,True
RTN1,True
RP11-62H20.1,True
DHRS7,False
SIX4,False
TRMT5,False
HIF1A-AS1,True
KCNH5,True
PPP2R5E,False
WDR89,False
SGPP1,False
CTD-2555O16.2,False
ZBTB25,False
SPTB,False
RAB15,True
MAX,False
CTD-2014B16.3,False
ATP6V1D,False
VTI1B,False
RDH11,False
CTD-2325P2.4,False
ZFP36L1,True
ACTN1,False
DCAF5,False
RP11-363J20.1,True
ERH,False
SLC8A3,False
COX16,False
SYNJ2BP,False
MED6,False
MAP3K9,False
RP1-261D10.2,False
DPF3,False
ZFYVE1,False
RP4-647C14.2,True
RP4-647C14.3,False
NUMB,False
RP3-414A15.10,False
PNMA1,False
ELMSAN1,True
FAM161B,False
ENTPD5,False
ALDH6A1,False
ABCD4,True
NPC2,False
AREL1,False
RPS6KL1,False
PGF,False
RP11-950C14.3,False
MLH3,False
ACYP1,False
NEK9,True
TMED10,False
C14orf1,False
TGFB3,False
RP11-488C13.5,False
ANGEL1,False
IRF2BPL,False
ZDHHC22,True
POMT2,False
TMED8,False
NOXRED1,True
VIPAS39,False
SPTLC2,False
ALKBH1,True
SNW1,False
DIO2,True
CEP128,False
GTF2A1,False
STON2,False
SEL1L,False
RP11-497E19.1,False
GALC,False
KCNK10,False
PTPN21,False
EML5,False
FOXN3,False
EFCAB11,True
NRDE2,False
TTC7B,False
RPS6KA5,False
GPR68,False
CCDC88C,False
SMEK1,False
AL133373.1,False
TC2N,False
FBLN5,True
TRIP11,False
ATXN3,False
NDUFB1,False
LGMN,False
ITPK1,False
MOAP1,False
C14orf142,False
BTBD7,True
PRIMA1,False
ASB2,True
DDX24,False
IFI27L2,True
DICER1,False
CLMN,False
SNHG10,True
ATG2B,False
RP11-872J21.3,True
C14orf64,True
BCL11B,True
SETD3,False
CCDC85C,False
RP11-638I2.4,True
SLC25A29,False
WARS,False
BEGAIN,False
HSP90AA1,True
MOK,False
CINP,False
ANKRD9,False
CDC42BPB,False
RP11-45P15.4,False
CKB,False
BAG5,False
RP11-894P9.1,False
RP11-73M18.10,True
XRCC3,False
PPP1R13B,True
C14orf2,False
RP11-260M19.1,False
AKT1,False
AHNAK2,False
CDCA4,False
JAG2,False
NUDT14,False
BRF1,False
RP11-521B24.3,False
PARP2,False
APEX1,False
PNP,False
METTL17,False
ARHGEF40,False
TMEM253,False
RP11-524O1.4,True
TOX4,False
ABHD4,False
OXA1L,False
MRPL52,False
LRP10,False
REM2,True
RP11-298I3.4,True
C14orf119,False
BCL2L2,True
PABPN1,False
CMTM5,False
NGDN,False
RP11-66N24.4,True
RP11-66N24.3,False
DHRS4,False
DHRS4L2,False
LRRC16B,False
CPNE6,True
PCK2,True
FITM1,False
PSME1,False
RP11-468E2.5,False
RP11-468E2.4,False
REC8,False
GMPR2,False
NOP9,False
LTB4R,False
NFATC4,True
NYNRIN,False
KHNYN,True
FOXG1,False
C14orf23,False
RP11-260G13.1,False
G2E3,True
SCFD1,False
COCH,False
AP4S1,False
RP11-596D21.1,True
NUBPL,False
RP11-187E13.1,False
ARHGAP5,False
AKAP6,False
NPAS3,True
RP11-73E17.2,True
SRP54,False
FAM177A1,False
INSM2,False
BRMS1L,False
SLC25A21-AS1,False
MIPOL1,False
SSTR1,False
RP11-545M17.1,False
GEMIN2,False
PNN,False
RP11-129M6.1,False
LRFN5,False
C14orf28,False
FAM179B,False
PRPF39,False
FANCM,False
RN7SL1,False
LRR1,True
MGAT2,False
KLHDC1,False
KLHDC2,False
AL627171.2,False
ARF6,False
ATP5S,False
ATL1,False
TMX1,False
FRMD6,True
GNG2,False
C14orf166,False
PTGER2,False
GPR137C,False
RP11-841O20.2,False
PSMC6,False
STYX,False
CDKN3,True
CGRRF1,False
SAMD4A,False
SOCS4,False
MAPK1IP1L,False
LGALS3,True
KTN1,False
PELI2,False
TMEM260,False
AP5M1,False
NAA30,True
ACTR10,False
PSMA3,False
ARID4A,False
KIAA0586,True
DACT1,True
DAAM1,True
JKAMP,False
LRRC9,False
PCNXL4,False
PPM1A,False
SIX6,False
MNAT1,False
SLC38A6,False
HIF1A,False
SNAPC1,False
SYT16,True
LINC00643,True
RHOJ,True
CTD-2302E22.4,False
SYNE2,False
MTHFD1,False
AKAP5,False
ZBTB1,False
HSPA2,False
PLEKHG3,False
CHURC1,True
FNTB,False
FUT8,True
GPHN,False
MPP5,False
EIF2S1,False
PLEKHH1,True
ARG2,True
RAD51B,True
EXD2,False
GALNT16,False
SLC39A9,False
KIAA0247,True
SRSF5,False
SMOC1,True
TTC9,False
RP6-65G23.3,False
PCNX,False
SIPA1L1,True
RGS6,False
DCAF4,True
RBM25,False
PSEN1,False
ACOT2,False
DNAL1,False
PTGR2,False
ZNF410,False
COQ6,False
CCDC176,False
LIN52,False
ISCA2,False
FCF1,False
YLPM1,True
DLST,False
EIF2B2,False
ZC2HC1C,False
FOS,True
RP11-293M10.5,False
JDP2,False
TTLL5,True
IFT43,False
GPATCH2L,False
VASH1,False
CIPC,False
TMEM63C,False
GSTZ1,False
AHSA1,False
SLIRP,False
ADCK1,True
NRXN3,False
RP11-497E19.2,True
FLRT2,True
SPATA7,False
RP11-507K2.3,False
ZC3H14,False
TTC8,False
RP11-356K23.1,True
TDP1,False
PSMC1,False
CALM1,False
LINC00642,False
C14orf159,False
CPSF2,False
GOLGA5,False
CHGA,True
ITPK1-AS1,False
UBR7,False
UNC79,False
FAM181A,True
OTUB2,False
IFI27L1,False
IFI27,False
PPP4R4,False
DICER1-AS1,True
GLRX5,False
LINC00617,True
C14orf132,True
GSKIP,False
AK7,False
PAPOLA,False
RP11-433J8.1,False
RP11-433J8.2,False
VRK1,False
CCNK,False
RP11-543C4.1,True
HHIPL1,False
EML1,False
EVL,False
YY1,False
WDR25,False
DLK1,True
MEG3,False
AL117190.3,False
AL132709.5,False
AL132709.8,False
PPP2R5C,False
RP11-1017G21.5,False
RP11-1017G21.6,False
DYNC1H1,False
WDR20,True
ZNF839,False
TECPR2,False
RCOR1,True
TRAF3,False
AMN,False
TNFAIP2,True
EIF5,False
MARK3,False
TRMT61A,False
KLC1,False
APOPT1,True
RP11-73M18.9,False
ZFYVE21,False
TDRD9,False
KIF26A,True
INF2,False
ADSSL1,False
SIVA1,False
RP11-982M15.2,False
ZBTB42,False
CEP170B,False
RP11-44N21.1,False
BTBD6,False
PACS2,True
TEX22,False
MTA1,False
CRIP2,False
C14orf80,False
TMEM121,False
RP11-403B2.7,False
RP11-32B5.7,False
NIPA2,False
NIPA1,False
GOLGA6L2,False
MAGEL2,False
NDN,False
UBE3A,False
GABRB3,True
OCA2,False
HERC2,False
FAM189A1,True
TJP1,True
MTMR10,False
OTUD7A,True
AVEN,False
EMC7,False
KATNBL1,False
SLC12A6,False
NOP10,False
LPCAT4,False
GOLGA8A,False
GJD2,True
ACTC1,True
AQR,False
ZNF770,False
DPH6,False
MEIS2,False
RP11-1008C21.2,False
RASGRP1,True
FSIP1,False
GPR176,False
SRP14,False
BMF,False
PLCB2,True
C15orf52,False
C15orf57,False
RMDN3,False
DNAJC17,False
RHOV,False
INO80,False
OIP5,True
NDUFAF1,False
RPAP1,False
EHD4,True
VPS39,False
TMEM87A,False
ZNF106,False
RP11-265N6.1,True
LRRC57,False
CDAN1,False
TTBK2,False
UBR1,False
LCMT2,False
ZSCAN29,False
TP53BP1,False
PPIP5K1,False
MFAP1,False
FRMD5,False
EIF3J-AS1,True
SPG11,False
CTD-2651B20.1,True
SHF,False
CTD-2651B20.3,False
GATM,True
SLC30A4,False
MYEF2,True
FBN1,False
CEP152,False
SHC4,True
SECISBP2L,False
COPS2,False
FAM227B,False
GABPB1,True
CTD-3110H11.1,False
TRPM7,False
SPPL2A,False
TNFAIP8L3,False
DMXL2,False
LYSMD2,False
RP11-56B16.4,False
LEO1,False
BCL2L10,False
GNB5,False
MYO5A,True
ARPP19,False
FAM214A,True
RSL24D1,False
RAB27A,False
RP11-139H15.1,False
CCPG1,False
DYX1C1,False
PYGO1,False
PRTG,True
NEDD4,False
RFX7,False
RP11-48G14.2,True
MNS1,True
ZNF280D,False
ADAM10,False
RP11-30K9.6,False
SLTM,False
MYO1E,False
GTF2A2,False
BNIP2,False
ANXA2,True
NARG2,False
RORA,False
VPS13C,True
RP11-1069G10.1,False
RPS27L,True
CA12,True
HERC1,True
DAPK2,False
FAM96A,False
PPIB,False
CSNK1G1,False
KIAA0101,False
OAZ2,False
RBPMS2,False
SPG21,False
MTFMT,False
UBAP1L,False
PDCD7,False
CLPX,False
CILP,False
PARP16,False
IGDCC3,True
IGDCC4,False
DPP8,False
VWA9,False
DENND4A,False
MEGF11,False
TIPIN,False
CTD-3185P2.1,False
SNAPC5,False
RPL4,False
LCTL,False
AAGAB,True
IQCH-AS1,False
RP11-502I4.3,True
CALML4,True
ANP32A,False
TLE3,True
UACA,False
LARP6,False
THAP10,False
RP11-673C5.2,False
MYO9A,False
PKM,True
PARP6,False
CELF6-1,False
HEXA,False
ADPGK,False
HCN4,False
NPTN,False
C15orf59,False
LOXL1-AS1,True
STOML1,False
RP11-247C2.2,True
STRA6,False
SEMA7A,False
UBL7,False
EDC3,False
ULK3,False
SCAMP2,False
FAM219B,False
COX5A,False
RPP25,False
MAN2C1,False
SIN3A,True
PTPN9,False
SNUPN,False
IMP3,False
CSPG4,True
ETFA,False
SCAPER,True
RP11-797A18.4,False
TSPAN3,False
PEAK1,True
LINGO1,False
TBC1D2B,False
CIB2,False
ACSBG1,True
WDR61,False
RP11-650L12.1,True
RP11-650L12.2,False
CHRNA3,False
CHRNB4,False
ADAMTS7,False
CTSH,False
ST20,False
RP11-2E17.1,True
RP11-210M15.2,True
MESDC2,False
STARD5,False
RP11-499F3.2,False
MEX3B,False
EFTUD1,False
RPS17,False
RPS17L,False
AP3B2,False
FSD2,False
HOMER2,True
C15orf40,False
BTBD1,True
RP11-382A20.2,False
HDGFRP3,False
RP11-182J1.5,False
WDR73,False
NMB,False
SEC11A,False
RP11-815J21.4,True
RP11-158M2.2,False
RP11-158M2.3,False
KLHL25,False
NTRK3,False
MRPL46,False
DET1,False
HAPLN3,False
MFGE8,True
RLBP1,False
POLG,False
KIF7,False
MESP1,True
AP3S2,False
C15orf38,False
RP11-617F23.1,True
IDH2,False
CIB1,False
CTD-3065B20.3,True
HDDC3,False
PRC1,True
VPS33B,False
FAM174B,False
RGMA,True
RP11-35O15.1,False
TTC23,False
ADAMTS17,False
RP11-526I2.5,True
LINS,False
CHSY1,False
VIMP,False
SNRPA1,False
TM2D3,False
TARSL2,False
RP11-89K11.1,True
TUBGCP5,False
CYFIP1,False
MKRN3,False
NPAP1,False
SNRPN,False
SNURF,False
SNURF-1,False
PWAR6,False
GABRA5,True
GABRG3,False
APBA2,False
RP11-680F8.3,False
AC026150.5,True
ARHGAP11B,False
FAN1,False
RP11-16E12.1,False
CHRNA7,True
ARHGAP11A,True
SCG5,True
RYR3,False
PGBD4,False
EMC4,False
C15orf41,True
RP11-128A17.1,False
SPRED1,False
FAM98B,False
THBS1,False
RP11-37C7.3,False
RP11-325N19.3,True
EIF2AK4,False
SRP14-AS1,False
BUB1B,False
PAK6,False
LINC00984,False
DISP2,False
LINC00594,False
KNSTRN,False
IVD,False
BAHD1,False
CHST14,True
RPUSD2,False
CASC5,True
RAD51,True
GCHFR,False
ZFYVE19,False
VPS18,False
DLL4,False
CHAC1,False
RP11-540O11.6,False
CHP1,False
NUSAP1,True
RTF1,False
ITPKA,False
TYRO3,True
MGA,False
MAPKBP1,False
GANC,False
SNAP23,False
HAUS2,False
STARD9,False
CTD-2036P10.3,False
TMEM62,False
CCNDBP1,False
ADAL,False
TUBGCP4,False
MAP1A,False
CKMT1B,False
CKMT1A,False
PDIA3,False
SERF2,False
HYPK,False
WDR76,True
CASC4,False
CTDSPL2,False
EIF3J,False
B2M,False
SORD,False
SPATA5L1,False
BLOC1S6,False
SQRDL,False
RP11-718O11.1,False
SEMA6D,True
DUT,True
EID1,False
GALK2,False
FGF7,False
DTWD1,False
SLC27A2,False
USP8,False
AP4E1,False
SCG3,True
TMOD2,False
TMOD3,False
MAPK6,False
RP11-430B1.2,False
UNC13C,True
PIGB,False
C15orf65,False
TEX9,False
TCF12,False
LINC00926,False
POLR2M,True
FAM63B,True
RNF111,False
CCNB2,True
FAM81A,True
TLN2,True
TPM1,True
LACTB,False
RAB8B,False
APH1B,True
USP3,False
FBXL22,False
SNX1,False
SNX22,True
TRIP4,False
ZNF609,True
AC100830.4,False
AC100830.5,True
ANKDD1A,False
PTPLAD1,False
RAB11A,False
DIS3L,False
MAP2K1,False
ZWILCH,False
SMAD3,True
C15orf61,False
MAP2K5,False
SKOR1,False
PIAS1,False
FEM1B,False
CORO2B,True
GLCE,False
KIF23,False
RPLP1,False
LRRC49,False
THSD4,True
SENP8,False
ARIH1,False
BBS4,False
NEO1,True
CD276,False
LOXL1,False
PML,False
UBL7-AS1,False
ARID3B,False
CLK3,False
CSK,False
CPLX3,True
MPI,False
SCAMP5,False
PPCDC,False
C15orf39,True
COMMD4,False
NEIL1,True
SNX33,False
ODF3L1,True
UBE2Q2,False
FBXO22,False
RCN2,False
PSTPIP1,False
HMG20A,False
IDH3A,False
DNAJA4,False
CRABP1,True
IREB2,False
HYKK,False
PSMA4,False
CHRNA5,False
MORF4L1,False
KIAA1024,False
ZFAND6,False
FAH,False
ARNT2,False
ABHD17C,False
KIAA1199,True
MESDC1,False
C15orf26,False
FAM154B,False
RP11-752G15.6,True
WHAMM,True
FAM103A1,True
SH3GL3,True
ADAMTSL3,True
UBE2Q2L,False
GOLGA6L4,False
ZSCAN2,False
ZNF592,False
ALPK3,True
PDE8A,False
AKAP13,False
MRPS11,False
AEN,False
ABHD2,True
FANCI,False
RP11-217B1.2,False
LINC00925,True
RP11-429B14.4,False
TICRR,False
ZNF710,False
SEMA4B,False
NGRN,True
ZNF774,False
IQGAP1,False
CRTC3,False
BLM,False
FURIN,False
FES,False
MAN2A2,False
UNC45A,False
RCCD1,False
SLCO3A1,False
ST8SIA2,False
CHD2,False
NR2F2,True
ARRDC4,False
IGF1R,False
SYNM,False
LRRC28,False
MEF2A,True
ASB7,True
WASH4P,False
POLR3K,False
NPRL3,False
LA16c-OS12.2,False
LUC7L,False
AXIN1,False
MRPL28,False
TMEM8A,False
C16orf13,False
JMJD8,False
WDR24,False
FBXL16,False
NARFL,False
RPUSD1,False
LMF1,False
LA16c-358B7.3,False
TSR3,False
UNKL,False
C16orf91,False
CLCN7,False
IFT140,False
NME3,False
MRPS34,False
SPSB3,False
HAGH,False
MSRB1,False
RPS2,False
NOXO1,False
ZNF598,False
NTHL1,False
PKD1,False
RP11-304L19.5,True
CASKIN1,False
BRICD5,False
PGP,False
ECI1,True
RNPS1,False
ABCA3,False
RP11-715J22.2,False
CTD-3126B10.1,False
PRSS27,False
TCEB2,False
LA16c-325D7.2,False
LA16c-321D4.2,False
PKMYT1,False
CLDN6,False
HCFC1R1,False
CCDC64B,False
RP11-473M20.7,False
ZNF205-AS1,False
RP11-473M20.14,False
RP11-473M20.16,False
ZNF200,False
TIGD7,False
ZSCAN32,False
ZNF597,False
SLX4,False
TRAP1,False
CREBBP,False
RP11-95P2.1,True
TFAP4,True
AC005356.1,False
PAM16,True
NMRAL1,False
CDIP1,False
UBALD1,False
ANKS3,False
ROGDI,False
GLYR1,False
NAGPA,False
FAM86A,True
RP11-152P23.2,False
CARHSP1,True
USP7,False
RP11-473I1.5,True
GRIN2A,False
RP11-27M24.3,True
EMP2,True
TVP23A,False
DEXI,True
SOCS1,True
LITAF,True
TXNDC11,False
ZC3H7A,False
RSL1D1,False
GSPT1,False
RP11-166B2.1,False
RP11-276H1.3,False
CPPED1,False
PARN,False
RP11-680G24.5,False
NTAN1,False
RRN3,False
NPIPA5,False
KIAA0430,False
FOPNL,False
XYLT1,True
NOMO2,False
RPS15A,False
ARL6IP1,True
SMG1,False
RP11-626G11.5,True
GDE1,False
KNOP1,False
GPRC5B,True
THUMPD1,False
ERI2,False
CRYM,False
NPIPB4,False
CDR2,False
USP31,False
COG7,False
GGA2,False
EARS2,True
NDUFAB1,False
PALB2,False
AC012317.1,True
CTD-2515A14.1,True
ARHGAP17,False
RP11-449H11.1,False
RP11-266L9.2,False
ZKSCAN2,False
CTD-3203P2.1,False
NSMCE1,False
IL21R-AS1,True
GTF3C1,False
GSG1L,True
XPO6,False
RP11-57A19.2,False
NPIPB6,True
EIF3CL,True
SULT1A2,False
SULT1A1,False
RP11-1348G14.5,True
TUFM,False
RP11-22P6.2,False
RP11-22P6.3,False
RABEP2,False
RP11-345J4.5,False
CDIPT,False
SEZ6L2,True
KCTD13,False
HIRIP3,False
DOC2A,False
FAM57B,False
YPEL3,False
GDPD3,False
MAPK3,False
BOLA2B,False
CD2BP2,False
TBC1D10B,False
SEPT1,False
DCTPP1,False
SEPHS2,False
ZNF768,False
ZNF764,True
ZNF688,False
ZNF785,False
ZNF689,False
RP11-146F11.1,False
C16orf93,True
ZNF629,False
BCL7C,False
FBXL19-AS1,False
STX1B,False
ZNF668,False
PRSS36,False
PYCARD,False
RP11-452L6.1,False
RP11-452L6.5,False
C16orf58,False
SHCBP1,True
VPS35,False
C16orf87,False
DNAJA2,False
NETO2,False
ITFG1,False
SIAH1,True
N4BP1,False
CBLN1,False
ZNF423,False
BRD7,False
SALL1,False
TOX3,True
AKTIP,False
RPGRIP1L,False
IRX3,False
CRNDE,True
CES5A,True
RP11-461O7.1,False
CTD-2050B12.2,False
AMFR,False
NUDT21,False
BBS2,False
FAM192A,False
CIAPIN1,False
DOK4,True
CCDC102A,False
KIFC3,False
ZNF319,False
C16orf80,False
CSNK2A2,False
CNOT1,False
SLC38A7,False
GOT2,False
CDH8,True
CDH11,True
TK2,False
CMTM4,False
DYNC1LI2,False
NAE1,False
FAM96B,False
TRADD,False
KIAA0895L,False
LRRC29,False
FHOD1,False
TPPP3,True
ZDHHC1,False
ATP6V0D1,False
CTD-2012K14.6,True
ACD,False
ENKD1,False
GFOD2,False
RANBP10,True
CENPT,False
PSMB10,False
LCAT,False
SLC12A4,False
DDX28,False
SLC7A6OS,False
SMPD3,False
CHTF8,False
COG8,False
TERF2,False
NOB1,False
EXOSC6,False
AARS,False
ST3GAL2,False
COG4,False
MTSS1L,False
VAC14,False
HYDIN,False
CMTR2,False
PHLPP2,False
AP1G1,False
ZNF821,False
TXNL4B,False
AC004158.2,False
ZFHX3,True
AC009120.6,False
RP11-252A24.7,True
GLG1,False
RFWD3,False
WDR59,False
BCAR1,False
CFDP1,False
ADAT1,False
KARS,False
MAF,False
CDYL2,False
CMC2,False
C16orf46,False
GCSH,False
RP11-55K13.1,False
SDR42E1,False
MPHOSPH6,False
MBTPS1,False
HSDL1,False
TAF1C,False
TLDC1,False
COTL1,True
ZDHHC7,False
FAM92B,False
GINS2,True
EMC8,False
RP11-463O9.9,False
MTHFSD,True
ZCCHC14,False
RP11-482M8.3,False
KLHDC4,False
SLC7A5,False
CYBA,True
MVD,False
RNF166,False
APRT,False
GALNS,False
CBFA2T3,False
CTD-2555A7.2,True
RP11-46C24.7,True
ANKRD11,True
RP11-104N10.1,False
CHMP1A,False
SPATA2L,False
VPS9D1,False
FANCA,True
CENPBD1,False
DBNDD1,False
WASIR2,False
SNRNP25,False
MPG,False
Z69666.2,False
HBM,False
HBA2,True
HBA1,True
HBQ1,False
ITFG3,True
ARHGDIG,False
PDIA2,True
NME4,False
DECR2,False
RAB11FIP3,False
PIGQ,False
RAB40C,False
WFIKKN1,False
FAM195A,True
WDR90,False
RHOT2,False
RHBDL1,False
STUB1,False
METRN,False
FAM173A,False
CHTF18,False
SOX8,False
CACNA1H,False
UBE2I,False
GNPTG,False
LA16c-312E8.2,False
TELO2,False
MAPK8IP3,False
EME2,False
NUBP2,False
FAHD1,False
NDUFB10,False
SNHG9,False
TBL3,False
GFER,False
SYNGR3,False
SLC9A3R2,False
TSC2,False
RAB26,True
TRAF7,False
MLST8,False
E4F1,False
DNASE1L2,False
MIR940,False
CCNF,False
C16orf59,False
AMDHD2,False
PDPK1,False
KCTD5,False
SRRM2,False
FLYWCH2,False
FLYWCH1,False
PAQR4,False
TNFRSF12A,True
THOC6,False
ZNF205,False
ZNF213,False
ZNF263,False
ZNF75A,False
ZNF174,False
NAA60-1,False
CLUAP1,False
DNASE1,False
GLIS2,False
VASN,False
DNAJA3,False
HMOX2,False
MGRN1,False
NUDT16L1,False
UBN1,False
ALG1,False
RBFOX1,True
METTL22,False
ABAT,False
PMM2,False
C16orf72,False
ATF7IP2,False
RP11-27M24.1,False
NUBP1,False
CLEC16A,False
RMI2,True
SNN,False
RP11-490O6.2,False
RP11-166B2.8,False
RP11-166B2.5,False
SNX29,False
SHISA9,True
ERCC4,False
MKL2,False
BFAR,False
NOMO1,False
NPIPA1,False
PDXDC1,False
C16orf45,False
NDE1,False
ABCC1,False
TMC7,True
COQ7,False
SYT17,True
CCP110,False
C16orf62,False
IQCK,True
AC004381.6,False
LYRM1,False
TMEM159,True
METTL9,False
UQCRC2,False
C16orf52,False
VWA3A,True
SDR42E2,False
EEF2K,True
POLR3E,False
NPIPB5,False
HS3ST2,True
CTD-2270L9.4,False
UBFD1,False
DCTN5,False
CTD-2196E14.4,False
PLK1,True
PRKCB,False
CACNG3,True
RBBP6,False
CTD-2540M10.1,False
TNRC6A,False
RP11-266L9.5,False
LCMT1,False
HS3ST4,True
KDM8,False
KIAA0556,False
SBK1,False
CCDC101,False
EIF3C,False
ATXN2L,False
SH2B1,False
NFATC2IP,True
SPNS1,False
LAT,False
QPRT,True
KIF22,False
MAZ,False
PRRT2,False
PAGR1,False
MVP,False
CDIPT-AS1,False
ASPHD1,False
CTD-2574D22.2,False
TMEM219,False
TAOK2,True
INO80E,False
ALDOA,False
PPP4C,False
RP11-455F5.3,False
RP11-455F5.4,False
CORO1A,False
MYLPF,False
ZNF48,False
AC002310.12,False
PRR14,False
FBRS,False
SRCAP,False
RNF40,False
MIR4519,False
CTF1,True
FBXL19,False
ORAI3,False
SETD1A,False
HSD3B7,True
STX4,False
ZNF646,False
BCKDK,False
KAT8,False
FUS,False
RP11-388M20.1,False
C16orf98,False
ARMC5,False
TGFB1I1,True
RP11-452L6.7,False
ZNF720,False
ZNF267,False
TP53TG3D,False
ORC6,True
GPT2,False
PHKB,False
RP11-523L20.1,False
LONP2,False
RP11-491F9.1,True
CNEP1R1,False
HEATR3,False
PAPD5,False
ADCY7,True
NKD1,False
RP11-401P9.4,False
CYLD,False
CHD9,False
RBL2,True
FTO,False
IRX5,False
LPCAT2,False
GNAO1,True
RP11-413H22.2,False
OGFOD1,False
MT3,True
MT2A,True
MT1E,False
MT1M,False
MT1F,True
MT1X,True
NUP93,False
HERPUD1,True
CPNE2,False
RSPRY1,False
ARL2BP,False
CX3CL1,False
COQ9,False
POLR2C,False
GPR56,False
KATNB1,False
TEPP,True
USB1,False
MMP15,False
CCDC113,False
GINS3,False
NDRG4,False
SETD6,False
RP11-403P17.3,True
CKLF,False
CMTM2,False
CMTM3,True
CES2,False
CES4A,False
CBFB,False
C16orf70,False
HSF4,False
NOL3,False
E2F4,False
TMEM208,False
PLEKHG4,False
FAM65A,True
CTCF,False
RLTPR,False
PARD6A,False
C16orf86,True
TSNAXIP1,False
THAP11,False
NUTF2,False
PSKH1,False
DUS2,False
NFATC3,True
PLA2G15,False
SLC7A6,False
PRMT7,False
